시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1431,1147000000,78,서울특별시,양천구,신원초등학교 운동장,1147010300,1147058000,서울특별시 양천구 남부순환로58길 32(신월동),2560,126.830207,37.529468,184991.8979,547788.2416
1432,1147000000,79,서울특별시,양천구,양서중학교 운동장,1147010300,1147058000,서울특별시 양천구 신월동 169-4,2109,126.829543,37.532833,184933.8844,548161.8204
1433,1156000000,63,서울특별시,영등포구,메낙골근린공원,1156013200,1156051500,서울특별시 영등포구 신길동 4934-4,7249.9,126.915286,37.50667,192509.7561,545247.8339
1434,1159000000,45,서울특별시,동작구,노량진근린공원(송학대공원),1159010100,1159051000,서울특별시 동작구 노량진동 325-2,11075,126.9438,37.508637,195031.098,545464.2523
1435,1162000000,78,서울특별시,관악구,관악산 만남의 광장,1162010200,1162073500,서울특별시 관악구 신림로 23(신림동),2753,126.945291,37.468585,195160.3494,541018.8747
1436,1111000000,19,서울특별시,종로구,배화여자고등학교 운동장,1111011300,1111051500,서울특별시 종로구 필운대로1길 34(필운동),2432,126.967916,37.578237,197165.9112,553187.9628
1437,1111000000,22,서울특별시,종로구,내수2근린공원,1111011800,1111053000,서울특별시 종로구 내수동 73-3,2310,126.971602,37.572366,197491.3369,552536.2842
1438,1162000000,44,서울특별시,관악구,인헌중학교 운동장,1162010100,1162062500,서울특별시 관악구 인헌9길 35(봉천동),7225,126.969202,37.472839,197275.6693,541490.0726
1439,1117000000,19,서울특별시,용산구,용산구청 광장,1117013000,1117065000,서울특별시 용산구 녹사평대로 150(이태원동),2300,126.989793,37.532782,199097.815,548142.5819
1440,1156000000,64,서울특별시,영등포구,중앙어린이공원,1156010700,1156053500,서울특별시 영등포구 영등포로35길 13(영등포동6가),3221.6,126.903688,37.521368,191485.9698,546880.0063
1441,1156000000,66,서울특별시,영등포구,자매공원,1156011000,1156054000,서울특별시 영등포구 여의대방로 372-1 (여의도동),15594,126.930478,37.51747,193853.8847,546445.3597
1442,1159000000,47,서울특별시,동작구,숭의여자고등학교운동장,1159010800,1159066000,서울특별시 동작구 여의대방로36길 79(대방동),3358,126.929319,37.507958,193750.6666,545389.6559
1443,1162000000,37,서울특별시,관악구,문영여자중학교 운동장,1162010100,1162059500,서울특별시 관악구 관악로 85(봉천동),25342,126.95144,37.472725,195704.5298,541478.1238
